825,599,34,1172.51,0
190,481,1,16.46,0
78,160,18,433.90,0
472,583,17,68.77,0
603,384,42,2377.92,0
671,260,34,3153.20,0
210,371,16,653.12,0
348,844,13,795.79,0
405,608,3,9.91,0
214,514,17,1227.24,0
350,428,19,1763.18,0
262,832,18,210.25,0
42,41,36,1888.16,0
727,372,2,172.33,0
900,589,6,64.26,0
24,859,3,214.71,0
71,997,1,19.32,0
255,912,17,847.96,0
814,869,46,148.54,0
586,251,39,2475.78,0
918,769,46,3217.81,0
650,511,43,1783.17,0
205,650,36,1269.42,0
377,196,31,553.70,0
254,263,48,3854.98,0
944,162,12,702.65,0
924,889,45,444.54,0
597,540,32,1315.63,0
621,71,14,901.74,0
580,972,26,1796.17,0
399,564,9,194.59,0
754,12,49,2918.18,0
348,546,42,428.11,0
907,906,48,3985.16,0
991,881,10,400.31,0
910,851,47,1318.63,0
754,261,10,212.89,0
526,254,15,1250.09,0
566,734,17,1130.48,0
874,412,21,468.84,0
549,621,43,1014.28,0
559,550,24,1451.68,0
830,1,29,196.76,0
329,290,26,1706.26,0
584,837,49,3913.78,0
557,626,33,1393.16,0
739,98,12,807.36,0
302,422,43,1671.45,0
80,733,11,980.09,0
696,43,33,1171.13,0
821,609,1,51.85,0
986,611,13,1139.54,0
842,253,16,1543.48,0
495,943,9,410.98,0
266,302,46,1392.18,0
154,497,43,3198.18,0
458,508,2,136.87,0
130,448,2,92.87,0
75,36,42,2021.10,0
625,937,11,1034.56,0
588,93,9,752.39,0
321,305,18,223.89,0
620,532,34,685.70,0
745,476,5,303.73,0
891,188,29,1527.76,0
40,679,1,72.44,0
596,972,9,621.75,0
804,586,35,1486.03,0
734,998,44,3368.96,0
668,930,16,1459.61,0
849,279,42,2928.77,0
817,366,1,55.90,0
451,967,33,2598.42,0
606,516,3,77.41,0
624,327,35,1059.70,0
461,698,15,599.53,0
489,106,37,1960.70,0
288,129,9,186.24,0
252,58,5,241.31,0
471,172,45,661.37,0
883,825,5,342.18,0
118,201,31,1610.03,0
903,663,20,1318.06,0
879,515,10,572.22,0
353,928,17,1196.44,0
469,508,50,3421.86,0
166,691,20,1573.82,0
317,963,29,1435.04,0
890,60,19,1358.51,0
951,213,41,889.38,0
174,302,44,1331.65,0
57,943,4,182.66,0
371,742,3,293.50,0
876,231,29,1803.69,0
578,204,2,52.63,0
419,572,12,423.57,0
408,105,41,1546.10,0
513,557,2,178.09,0
248,383,37,81.93,0
888,399,3,74.83,0
403,684,21,448.68,0
648,502,43,4140.54,0
506,651,8,459.10,0
451,39,26,188.75,0
40,209,32,2597.62,0
693,713,12,27.65,0
49,994,36,68.21,0
800,211,28,577.32,0
186,331,8,194.46,0
788,634,23,1772.35,0
743,568,17,1463.79,0
781,27,30,469.80,0
882,559,29,634.88,0
172,304,40,3948.16,0
491,634,7,539.41,0
966,516,24,619.30,0
561,743,17,1489.07,0
797,313,8,612.69,0
739,109,35,273.85,0
51,789,50,2211.07,0
227,276,45,2316.37,0
892,489,9,567.56,0
626,609,7,362.95,0
92,468,40,3849.22,0
747,668,2,104.03,0
349,387,28,1463.54,0
241,126,17,228.34,0
678,831,42,2746.99,0
775,827,34,1210.84,0
947,261,3,63.87,0
113,324,22,909.38,0
435,922,38,3316.94,0
369,695,29,1733.67,0
633,362,46,412.85,0
316,897,27,2308.40,0
427,530,5,437.86,0
726,482,11,51.11,0
370,149,35,2541.98,0
